tem_06359_02113515230	వైఎస్సార్ మంత్రివర్గంలో స్థానం పొందాడు
tem_08680_01251943131	విజయవాడ గ్రామీణ మండలం లోని గ్రామం
tem_03338_01240959695	దీనికి వయసుతో సంభందం లేదు
tem_09015_00347989206	మోకాలి చిప్పలు పగిలిపోతాయి
tem_08377_01356684189	దీనిని బైమోడ్ అని అందురు\n
tem_04771_01571781197	రెండు వందల గజాలలో
tem_05425_00888078358	ఇంకనూ ఏమైనా సందేహాలుంటే చర్చా పేజీలో వ్రాయండి
tem_02769_01281047939	తదుపరి ఆట రసకందాయంలో పడుతుంది
tem_08680_01098472507	అప్పుడు నారదుడు ఇట్లా చెబుతారు\n
tem_05479_00367271546	ప్రధాన పంటలు మామిడి మరియు బెల్లం
tem_09015_01238998607	నాయుడుపేట గ్రామ దేవత పోలేరమ్మ
tem_03338_02103800282	ఓలేటి పార్వతీశం ఒక కవి
tem_08377_01353447205	కళ్యాణ్ వచ్చి వివాహం సహాయపడుతుంది\n
tem_03338_00344257645	సీలోనే తరగతినే ప్రథమ స్థానంలో నిలిచారు
tem_03338_00071005660	ఆల్కహాల్ కలిపి తయారుచెయ్యాలి
tem_04771_00539398496	వెంటనే కుడివైపుకు వెళ్ళండి
tem_06917_01526428614	ఏమైనా సందేహాలుంటే నా చర్చాపేజీలో తప్పక వ్రాయండి
tem_06917_01915175466	పూర్వం ఈ గ్రామం రవాణా సౌకర్యం లేక మారు మూల గ్రామం గా వుండేది
tem_03338_01808709896	ఇది వేదాలలోని మంత్రభాగం
tem_04272_01491080665	ఇంతకు మునుపు వికీలో తుని వ్యాసాన్ని చూసాను అది మీదే కదా
tem_06582_01385994691	అప్పుడు భీముడు అన్నగారి వైపు చూసాడు
tem_07220_00763693704	ఇది మండలములోని పెద్ద గ్రామాలలో ఒకటి
tem_03338_00436783779	వడాలి ఒక చిన్న గ్రామము
tem_09015_00508952931	నిజానికి మనము ఏది వదులుకోము
tem_04272_00574714672	తమిళ ద్రవిడ భాష సంస్కృతి తమిళనాడు రాజకీయాలలో ఇప్పటికీ ప్రధానమైన అంశాలు
tem_02769_01994864707	వీరిలో వీర్య సామర్థ్యం తగ్గిపోతోంది
tem_08680_00415742015	వానిమీద మంచి తప్పు మోపినారు\n
tem_08680_00319470318	ఈ ఆలయ పునర్నిర్మాణానికి రు\n
tem_04771_00143764868	యు-మలుపు తీసుకోండి
tem_02769_01450549060	వాడు నాకు అనుకూలుడు
tem_09015_00534185689	వీటిలో ఏడు ఉదాలోయ్  తరగతికి చెందినవి
tem_03338_01741947895	దీనిలో ఒక ధర్మసూత్రం ఉంది
tem_04272_01395898241	నాగార్జునసాగర్ ప్రముఖ బౌద్ధ చారిత్రక స్థలం కూడను
tem_06917_00778849076	మొదటి పేజీలో రచ్చబండ కనిపించడం లేదు
tem_02769_02063935174	మానవులు ఎక్కువగా కపిలగోవులను పూజిస్తారు
tem_00974_00918784754	ఈ గీతాన్ని రచించినది రతన్ రావు
tem_08377_00136259073	ఇది వెయ్యి ఆరు వందల ఎనభై రెండులో నిర్మించబడిన బరాదారి భవనం
tem_04272_01450199970	ఒక్కొక్క జట్టులో ఏడు మంది ఉంటారు
tem_00974_00291163375	ఉత్సవాలలో కర్రసాము కూడా చేసేవారు
tem_02812_00171425163	చిత్తూరు జిల్లాలో ప్రముఖ నది
tem_02812_00545520257	ఈ విషయాలపై నిర్వాహకులకు ప్రత్యేకమైన పాత్ర లేదు
tem_09015_01179487207	దీని వలన గరిబాల్ది మంచి అవకాశం లభించింది
tem_04272_00288754221	ఉమ్మడి కుటుంబం సంచలన విజయం సాధించి రజతోత్సవం జరుపుకుంది
tem_00682_01128459886	వ్యాకరణ పరంగా ఇది సరైన విధానం
tem_04771_01370940443	ఈశాన్యం వైపుగా
tem_08680_00071593361	ఈ చిత్రానికి మహేష్ బాబు నటన ముఖ్య ఆకర్షణ\n
tem_09015_02028705110	ఇవి బిడ్డ పెరుగుదలకు ఎంతో తోడ్పడుతాయి
tem_02769_00005491931	వేసవిలో మంచినీటి కోరతను ఎదుర్కుంటారు
tem_07220_01208999267	వాటి మధ్య ఉండే బలం గురుత్వాకర్షణ బలం
tem_02477_01314573713	శ్రీకాకుళం అనే వూరు అక్కడ ఆంధ్ర మహా విష్ణువు ఆలయం ఉన్నాయి
tem_03338_02062764081	ఇవి ఐదు వర్గములుగా విభజింపబడినవి
tem_04771_01732164210	ఒక కిలోమీటర్‌లో
tem_02769_00558870928	అది విని వశిష్ఠుడు అతనిని వారించాడు
tem_06359_00141133233	ఇండియన్ స్కూల్ ఆఫ్ బిజినెస్
tem_09584_00609696865	తులసి అనే పాప ఒక ఆస్తిపరుని కుమార్తె
tem_02812_01094084325	ఇట్టిదానికి క్షిప్తము అందుము
tem_06359_02003413416	అల్ప కణిశములు జతలు జతలుగ ఉండును
tem_04272_01792167369	దేవ పశ్చిమ గోదావరి జిల్లా పెనుగొండ మండలానికి చెందిన గ్రామము
tem_06359_01934528576	బౌద్ధులకు ఒక ప్రాముఖ్యమైన యాత్రాక్షేత్రం
tem_05425_00379690682	ఏదో తప్పు చేసారు కాసుబాబు గారు
tem_05425_02102021134	ఆయన పేజీ ఆయన స్వంత ఆలోచన
tem_00974_01740442931	అందువలననే వీటిని బుట్టబొమ్మలంటారు
tem_02812_00040610567	ఒకసారి మంగళూరు కన్నడ పేరు గమనించండి
tem_09525_01938177524	ఇతడు భారత మాజీ క్రికెట్ ఆటగాడు\n
tem_02812_01159953118	దాదాసాహెబ్ ఫాల్కే అవార్డు గ్రహీత శాంతారాం
tem_04771_01791577090	వంద మీటర్‌లలో
tem_08680_00908750644	ప్రధాన పంటలు మొక్కజొన్న చెరకు మరియు పసుపు\n
tem_09015_00675150581	అలాంటి వాడు దుఃఖంలో మునిగి తేలుతుంటాడు
tem_08377_00293691380	జెట్టివారు గౌండ్లవారికి చెప్తారు\n
tem_06359_00404015134	అది పగులి చెరుకు పాలు తెర్లతాయి
tem_00974_01930781687	వీటిని విష్ణుపాదములు అంటారు
tem_08377_00229856880	క్రమంగా సంపూర్ణంగా అంతరించింది\n
tem_07220_02081963684	రోజా మరియు మీనా చాలా మంచి స్నేహితులు
tem_05425_01069390191	మా ఊరు చాలా ప్రశాంతంగా అందంగా ఉంటుంది
tem_06359_01001662541	భూమి యందు సంతోషించువాడు
tem_08680_01474712901	ఇదంతా ముందే నిర్ణయించబడింది\n
tem_02812_01483840848	ఆ తర్వాత ఆధునిక మానవ జాతి ఆవిర్భవించింది
tem_09015_02017907452	అల్లు అర్జున్ మొదటి చిత్రం కె
tem_06917_00169816871	అవి కూడా మాకు లభించే అవకాశం ఏమయినా ఉందా
tem_03338_00890106986	తిమ్మలై ప్రజలకు ప్రధానవృత్తి వ్యవసాయం
tem_08680_00194173694	కాని వీరి గురించిన ఆధారాలు చాలా తక్కువ\n
tem_00974_01063592404	గృహాల సంఖ్య రెండు వందలు ఇరవై అయిదు
tem_07220_00652623256	సంస్కృత ఆంధ్ర భాషలలో పట్టు సంపాదించాడు
tem_09015_00851739066	ఎంబీఏ కూడా అక్కడే చదివాడు
tem_09015_01282128529	తరుణ శశాంక శఖరమరాళమునకు
tem_04771_01883860010	వెంటనే ఎడమవైపుకు వెళ్ళండి
tem_06359_00504029415	ఒక దశాబ్దము చేసిన నిరంతరకృషి ఫలము
tem_00682_00958316373	తూలికనెట్ ఒక అంతర్జాల పత్రిక
tem_00113_02137769705	స్త్రీ కూడా అంతే
tem_00682_00403295200	ఇది పదమూడు సంవత్సరాలలో అత్యధికం
tem_09015_00576269747	లూసీ దంపతుల బిడ్డ యశోద కడుపులో పడుతుంది
tem_02769_01668577005	మహాదేవపురం అను గ్రామము
tem_08680_01427986609	ఈనడానికి పదునయిదు నుండి ముప్పై నిమిషాలు పడుతుంది\n
tem_06359_00321575330	వీరిని పలు విధమైన కులాలలో వర్గీకరించాడు
tem_03338_02077850396	వర్షోపలము అనగా వడగల్లు
tem_09222_02046408151	కిషన్ పట్నాయక్ సాంఘిక నాయకుడు
tem_09584_01039036255	కానీ వెయ్యి ఏడు వందలు నలభై రెండు లోనే హేలీ కాలధర్మం చెందాడు
tem_09222_00360654339	వానిమీద మంచి తప్పు మోపినారు
tem_00682_01366661490	రాజ్యాల సమైఖ్యత ప్రయత్నాలు మొదలయ్యాయి
tem_06359_00696739651	అయితే జ్ఞానం తనంతట తాను మోక్షమార్గం కాదు
tem_08377_00478457843	అలాంటి పేజీలను ప్రత్యేక పేజీలు అంటారు\n
tem_06582_01659109154	ముఖ్యంగా నాటకాలమీద ఆయనకు ఎక్కువమక్కువ
tem_02812_01701336588	పాంపీ కళ హాలీవుడ్ కళ వంటిది కాదు
tem_03338_01604291040	దేశానికి బిష్కెట్ రాజధానిగా ఉంది
tem_04272_00772759492	ఆంధ్ర ప్రదేశ్‌ రాష్ట్ర మాజీ ముఖ్యమంత్రి నందమూరి తారక రామారావు
tem_04272_01588647011	ఈ గ్రామం ఒకప్పుడు బౌద్ధ క్షేత్రం
tem_05425_01027641858	అలాగే మీరు అప్లోడు చేసిన మిగతా బొమ్మలకు కూడా లైసెన్సు వివరాలు చేర్చండి
tem_03338_02048935067	ఇతను హనుమంతుని వీర భక్తుడు
tem_05425_00341193848	పై విషయం నాకు ఇప్పుడు అర్థం అయ్యింది
tem_06917_02138378984	ఆచంట గురించిన మరింత సమాచారం చేర్చండి
tem_00113_01891764470	కానీ వీటిల్లో ఉండే కెలొరీలు ఎక్కువే
tem_02769_01393392663	పొలం దున్నడానికి మరియు రవాణాకు అనువైనది
tem_03338_01141067949	కటువుగా కైక వారికి నారచీరలు ఇప్పించింది
tem_07220_00527318282	గృహాల సంఖ్య వెయ్యి ఎనభై తొమ్మిది
tem_08680_00563594535	ఫలితంగా కుహరం మూసుకుపోతుంది\n
tem_00974_00939043982	సప్తగిరి గ్రామీణ బ్యాంక్
tem_03338_01686243805	సంవత్సరాంతమునకు ఇంకా ముప్పై రోజులు మిగిలినవి
tem_06359_00801850384	అది చూసి సుయోధనుడు చింతాక్రాంతుడైయ్యాడు
tem_02812_00449980358	నంద్యాల పట్టణానికి రైలు సౌకర్యం మరియు బస్సు సౌకర్యం రెండూ ఉన్నాయి
tem_04272_00636276707	మహబూబ్ నగర్ జిల్లాలో వర్షపాతం తక్కువ
tem_09525_01631369401	ఈ కింద సందర్భాలలో కూడా వీటిని వాడవచ్చు
tem_00682_01701560830	ఆచంట మండలంలో వల్లూరు క్లిక్ చేస్తే కడప వల్లూరు వస్తున్నది
tem_09222_01194469058	నేనెవరో నీకు తెలియజెప్తాను
tem_03338_01583300344	కోపం పాపపు పనులు చేయిస్తుంది
tem_00682_00220093638	ఇది కుండ మాదిరిగా ఉంటుంది
tem_02769_01108303160	కత్తిసాము గుర్రపు స్వారీ చేసేది
tem_09015_00891118894	గ్రామ విస్తీర్ణం రెండు వందలు పధ్ధెనిమిది హెక్టారులు
tem_00682_01083237827	ఇప్పుడు బస్సు సదుపాయం బాగా కలిగింది
tem_03338_01459972301	కేవలం ఒక పనిముట్టుగా చూడబడుతుంది
tem_00974_00111410474	పురాతనమైన విష్ణుదేవాలయం కలదు
tem_00682_01563248768	కానీ వాటిపైకి నా మనసు పోలేదు
tem_08377_01632527492	ఆయన కాలంలోనే బాంబు తయారయింది\n
tem_04272_01128060257	కోడంగల్ కోస్గి నారాయణపేట నుంచి బస్సు సౌకర్యం ఉంది
tem_06885_01431901508	అలాంటి పేజీలను ప్రత్యేక పేజీలు అంటారు
tem_04771_00684186264	ఎడమవైపులో నిష్క్రమించండి
tem_00974_01008524895	మొదటి స్థానంలో జైపూర్ జిల్లా ఉంది
tem_08680_01078057697	ఇతి వృత్తనిర్మాణము వైపే నన్నయ దృష్ఠి\n
tem_05425_01524306226	ఈ ఊరిలో కొబ్బరి అభివృద్ది సంస్థ కలదు
tem_09015_01938382607	బొబ్బిలి బుల్లోడు సినిమా వివరాలు
tem_07220_01387511624	దీని శాస్త్రయనామం కాసియా అంగుష్టిఫోలియా
tem_06359_02027744139	పర్యావరణ సమతుల్యతకు ఉండి తీరాల్సిన పక్షి
tem_02812_01318120273	మరికొన్ని సంబంధిత వ్యాసాలు కొరకు కడప అయోమయ నివృత్తి చూడండి
tem_00974_01088048977	మిగతా భాగం సారంగపాణిది
tem_08680_00657176993	గ్రామ జనాభా సరాసరి అయిదు వందలు కుటుంబాలు
tem_08680_00900594632	ప్రపంచ ప్రఖ్యాత వ్యవసాయ శాస్త్రవేత్త ఆయన\n
tem_00682_01211106085	ఏ.ఎన్.ఆర్ దాదాసాహెబ్ ఫాల్కే అవార్డు గ్రహీత
tem_00682_01535725146	జటాసురుడు ఉన్నతమైన స్థానంలో ఉన్నాడు
tem_00682_01868974487	ఇక్కడ కేవలం ఐదవ తరగతి వరకు మాత్రమే పాఠశాల సౌకర్యం ఉంది
tem_00974_02124754035	ఈ విజయము చాలా ముఖ్యమైనది
tem_08680_01167708170	తెలుగు సినిమా రంగములో గుమ్మడి గా ప్రసిద్ధి చెందిన గుమ్మడి వెంకటేశ్వరరావు\n
tem_06359_01322560543	అడుగున స్త్రీ పుష్పములు
tem_08680_01850029958	కాని ఐరావంతుడు ఒక షరతు పెడతాడు
tem_02769_01005302819	ఆ విధంగా నాటకం సాగుతుంది
tem_05479_01200006914	రైలు వేగం గంటకు సరాసరిన ముప్పై నాలుగు కిలో మీటర్లు\n
tem_06359_01762296397	దీని రచయిత త్రిపురనేని గోపీచంద్
tem_04272_02098662135	ఈ వంశము తెలుగు వారిని పరిపాలించిన తొలి ముస్లిం వంశము
tem_06359_00311405191	లిటిల్ ఐస్ ఏజ్ బిగ్ చిల్లీ
tem_07220_01751692052	ఈమె వెయ్యి తొమ్మిది వందలు ఎనభై రెండులో రాయటం మొదలు పెట్టారు
tem_06359_01492195660	ఒక్కో గుండానికి ఒక్కో ప్రత్యేకత ఉంది
tem_08680_00873432594	అనగా మన దేశానికి హిందీ అధికార భాష\n
tem_04771_00363473464	ఆగ్నేయం వైపుగా
tem_09222_00190804119	ప్రముఖ తెలుగు సినీ దర్శకుడు సత్యనారాయణ
tem_09015_00999671506	వారి లోకం వేరు
tem_03338_02146080967	లిండా డౌవెర్ వెయ్యి తొమ్మిది వందలు డెబ్బై ఎనిమిది
tem_00682_00484726720	తాడేపల్లి పేరుతో ఒకటి కంటే ఎక్కువ పేజీలున్నందువలన ఈ పేజీ అవసరమైంది
tem_04771_00123751583	తూర్పు వైపుగా
tem_03338_01313179947	పిన్ కోడ్ అయిదు లక్షల తొమ్మిది వేలు రెండు వందల రెండు
tem_03338_00842008357	ఇష్టంలేకున్నా పర్షియన్ భాష చదివారు
tem_06359_00163489559	తోటివారిలో ఉన్న మంచిని మాత్రమే చూడు
tem_00682_01457717964	ఈ సినిమాకు ప్రధాన కథానాయకుడు చిరంజీవి
tem_05425_01904949404	ఈ పార్కు మధ్యప్రదేశ్ ‌లో కూడా విస్తరించింది
tem_00974_00481725593	అప్పుడి జిల్లా కేంద్రగా అమరావతి ఉండేది
tem_03338_00380806867	దొంగోనికి అందరు దొంగల్లాగా
tem_05479_01772486387	పురుషుల కన్నా స్త్రీల శాతం ఎక్కువ\n
tem_08680_00464808157	కుశధ్వజుడు ఇతని సోదరుడు\n
tem_00682_00965256499	వాటి లింకుల కోసం ఘంటసాల అయోమయ నివృత్తి చూడండి
tem_00974_00743114769	నెమ్మదిగా కమర్షియల్ రంగం మొదలయింది
tem_02769_00324658233	అన్న పదం సామాన్య శిక్షా గుర్తు
tem_06359_02119141554	ఈ పరిమాణ నామాలకు అర్థం ఉంది
tem_08680_00165659186	లాగిన్‌ అయిన తరువాత ఎన్నో ప్రయోగాలు చేసుకోవచ్చు\n
tem_08680_02127138813	పిన్ కోడ్ అయిదు లక్షల పదునయిదు వేల అయిదు వందల ఒక్క\n
tem_05425_00102930140	మన ఊరి పాండవులు ఒక మంచి తెలుగు సినిమా
tem_04272_00500727906	పంచాయత్ రాజ్ మంత్రిత్వ శాఖ వెబ్‌సైటులో విజయనగరం జిల్లా తాలూకాల వివరాలు
tem_06917_00595811650	ఉదాహరణకు చిత్తూరు అయోమయ నివృత్తి పేజీలో ఇచ్చిన లింకులు చూడండి
tem_06359_02009749203	మేషలగ్నస్థ గ్రహ ఫలితాలను క్రింద చూడవచ్చు
tem_09015_00866634317	శ్రీ కాశీ విశ్వేశ్వరస్వామివారి ఆలయం
tem_03338_01876865696	సంగ్రహించిన తేదీ పదకొండు రెండు వేలు పధ్నాలుగు
tem_09525_01184998451	ఇక్కడ మంచి నీటి వసతి ఉన్నది\n
tem_00682_01718569839	అప్పుడు ప్రభుత్వం ఏర్పాటు చెయ్యడానికి పార్టీ మద్దతు కాంగ్రెసుకు అవసరమైంది
tem_04771_01058243192	మీ గమ్యస్థానం కుడివైపున ఉంది.
tem_00682_00653031845	ఊరిలో ప్రభుత్వ ప్రాథమిక పాఠశాల ఉన్నది
tem_02812_01370582687	విశాఖపట్నం ఆంధ్ర ప్రదేశ్ రాష్ట్రములోని విశాఖపట్నం జిల్లాకు చెందిన ఒక మండలము
tem_00682_02078141428	ఈయన ఎక్కువగా ఫ్రెంచి లోనూ లాటిన్ లోనూ రచనలు చేశాడు
tem_03338_00940255137	ఆ తరువాత ముస్లిమేతరులందరిపై విధించేవారు
tem_08680_01947761790	మిరియాల తీగె వేరుమూలమున నెగబ్రాకుచున్నది\n
tem_05425_00390715648	పని కాకపోతే మళ్ళీ ఇక్కడకు రండి
tem_08377_00770313144	సరస్వతి నిలయంగా పేరు గాంచింది\n
tem_09015_00294931347	వాళ్లతో నాది మంచి అనుబంధం ఉండేది
tem_08680_01646370590	నేలలో పొడుగుగా దుంపలు ఊరుతాయి
tem_08680_02084836980	పిన్ కోడ్ అయిదు వందల ముప్పై నాలుగు రెండు వందల నలభై అయిదు
tem_02812_00515787304	ఈనడానికి పదునయిదు నుండి ముప్పై నిమిషములు పడుతుంది
tem_06359_00321945647	అఖరివాడుగా శ్రినివాసుడు జన్మించాడట
tem_07220_01265705348	దానికి ముందు ఒక విభిన్నమైన విధానం ఉండేది
tem_00974_01727589254	ఈ ఊరి పక్కన ఒక గుట్ట కలదు
tem_03338_01283337737	ఆమె జూలై పదహారు రెండు వేల తొమ్మిది న సహజంగా మరణించింది
tem_04771_00888734852	వలయాకార కూడలిలో, ఒకటవ నిష్క్రమణ నుండి వెళ్ళండి
tem_00682_02039846740	సంగీతం గురించి ఎన్నో వ్యాసాలు కూడా వ్రాశాడు
tem_04771_01116881389	, అప్పుడు
tem_00974_02130347265	ఈయనకు ఇద్దరు కుమారులు
tem_09015_00219390927	శివరాత్రి నాడు ఆయన ప్రజలకు దర్శనమిస్తారు
tem_00682_00494174253	డిసెంబరు వెయ్యి తొమ్మిది వందలు తొంభై తొమ్మిది లో గృహప్రవేశం చేశారు
tem_00974_01536842740	ఊరంతా ఈ కోలా హలంలో మునిగి పోతారు
tem_02769_00784175202	అందుకు బలమైన ఉదాహరణ ఈడిపస్ నాటకం
tem_05479_01769689069	గృహాల సంఖ్య రెండు వందల డెబ్బై
tem_04771_02046130681	ముప్పావు మైలులో
tem_09015_02133696059	మిరియాల తీగె వేరుమూలమున నెగబ్రాకుచున్నది
tem_09222_01214558089	కింద ఇచ్చిన జాబితాలో మీ సభ్యనామం రాయండి
tem_04771_01732999170	మూడు మైళ్లలో
tem_04272_00585694886	రఘుపతి వెంకయ్య తన కుమారుడు సినిమా నిర్మాణం నేర్చుకోవడానికి విదేశాలు పంపాడు
tem_09525_01438225376	అల్లు అర్జున్ మొదటి చిత్రం కె\n
tem_02812_01183211050	ఎరుకల వాడు ప్రశ్న చెబుతడు
tem_02812_01967776592	దాంతో అతను ఆమెను మరింతగా వెంబడించాడు
tem_04771_00177436924	నూట యాభై గజాలలో
tem_06582_00679993909	అమ్మవారి పేరు మాణిక్యాంబ దేవి
tem_00974_00161119560	వారికి నాలుగు పిల్లలు
tem_00974_01267862504	ఈ సందర్భంలో ఒక కథ చెప్తాను
tem_04272_00062216947	వ్యాసం పేరులో విశ్వనాథ అని ఉండాలి
tem_09015_00010584547	వీటిలో పగలు కూడ జరిగే ఘట్టాలు మూడు
tem_09222_02094612080	ప్రస్తుతం ఆ ప్రదేశంలో ఒక స్తంభం మాత్రం ఉంది\n
tem_09015_00073684379	శంకరమంచి తెలుగు వారిలో కొందరి ఇంటి పేరు
tem_06917_01481300036	నమస్కారం మా ఊరి పేరు వికీలో లేదు
tem_00113_01096797282	అన్యాయాన్ని సహించే వారు గాదు
tem_02812_00843516342	పార్శ్వనొప్పికి మూలకారణాలు కావు
tem_04272_01150835350	కానీ దానిని అసలు పేజీలోనే చేర్చవచ్చు
tem_02769_00881577131	అయినా జయాపజయాలు దైవాధీనాలు కదా
tem_07220_01306218095	ప్రభావతి తన కోరికను చెప్పింది
tem_06917_00350919312	నేను పని చేసే ప్రదేశంలో ఈ ప్రాంతాలకు చెందిన వారు చాలామంది ఉన్నారు
tem_04272_00887911673	ఈ వ్యాసం ఆంధ్ర ప్రదేశ్ రాష్ట్రములోని జిల్లా గురించి
tem_02769_01894366538	జిల్లా పరిషత్తు ఉన్నత పాఠశాల
tem_00682_00379835637	వూరిలో ఒక రైల్వే స్టేషన్ ఉంది
tem_00974_00202292263	దీని ఇంధన సామర్థ్యం సుమారు ఎనభై రెండు గ్యాలన్లు
tem_09015_00400205862	గత ఆరు మాసాలలో ఇదే అత్యధిక పెర్గుదల రేటు
tem_09015_01485993597	ఒక్కో వర్గంలో పన్నెండు తెగలవారు వస్తారు
tem_04771_01487682810	నిష్క్రమించండి
tem_06582_01278233577	గ్రామ దేవతలకు నైవేద్యాలు అర్పిస్తారు
tem_09015_01372313826	దూరంలో వున్న పల్లెటూరు తోటపల్లి
tem_00682_02111552825	శీతాకాలంలో హిమపాతం అధికంగా ఉంటుంది
tem_00682_01118007483	కళాశాల కూడా నడుస్తున్నాయి
tem_02812_00917994513	సరస్వతి నిలయంగా పేరు గాంచింది
tem_00974_01564945070	ఈమె మాజీ దక్షిణ భారత నటి
tem_05425_01507528162	ఈ గ్రామము సినీ దర్శకుడు సంగీత దర్శకుడు అయిన ఎస్.వి.కృష్ణారెడ్డి యొక్క స్వస్థలము
tem_02812_00399877627	ఈ గ్రామంలో తొమ్మిది గుట్టలు ఉన్నాయి
tem_00682_01173489513	టంగుటూరి ప్రకాశం పంతులు పేజీ ఇప్పటికే ఉంది
tem_04771_01252294154	మూడు వందల గజాలలో
tem_09222_01071512019	కనుక అతడిని రక్షించుకోవడం నా కర్తవ్యం\n
tem_00682_00914815687	భాష మాత్రం సమకాలీనంగా మార్చబడింది
tem_09584_02047229027	ఇవి ఐదు వర్గములుగా విభజింపబడినవి
tem_07220_00090235748	అవి తగు మోతాదులో ఉండాలి
tem_03338_00589772807	వీటి అడుగు భాగం సమతలంగా ఉండేది
tem_02812_01311027928	ఆమె ప్రసన్నురాలై యొక వ్యాకరణము నిచ్చెను
tem_08680_01508988667	మరికొన్ని సంబంధిత వ్యాసాల కొరకు కడప అయోమయ నివృత్తి చూడండి
tem_00974_02062798415	స్పర్శ నాడులు
tem_09015_00035284435	అరణి గారి మహా భారతం
tem_09015_01072956393	ఇక వెళదామని చెప్పిన వరదప్ప పంతులు
tem_00974_00154406680	ఇది ఇక్కడ అసేధ బలం
tem_09015_01578238128	అది ఒక పెద్ద సంబరంగా భావిస్తారు
tem_00682_00721148881	ఆత్మ పేరుతో కొన్ని సినిమాలకు దర్శకత్వం వహించాడు
tem_04272_01254452994	ఈ రాష్ట్రంలోని ముఖ్యమైన నదులు గోదావరి కృష్ణ
tem_06359_01436852128	పదవులు కోరని పావన మూర్తీ
tem_02769_01945873266	చదువు అయిదువ తరగతి
tem_06582_00623296647	తెలుగు సాహిత్యం లో ఎన్నో మార్పులు వచ్చాయి
tem_02769_00438931063	ఈ పురస్కారం క్రింద వీరికి రు
tem_06359_00446110210	చెర్ల అనేది జలసూచి
tem_00113_01933484532	ఈ నవలామాలికలోని నవలలు మొత్తం పన్నెండు
tem_06885_01482070454	లిండా డౌవెర్ వెయ్యి తొమ్మిది వందలు డెబ్బై ఎనిమిది
tem_09584_01358102467	దిక్కులకు అధిపతులను నిర్ణయించడం
tem_09015_00072532718	వట్టి గింజలనుండి నూనె రాదు
tem_07220_00373861470	ఆయన ప్రసిద్ధ మానవతా వాది మరియు సామ్యవాది
tem_04272_00463886373	వేమూరి గారు చెప్పింది బాగానే ఉంది
tem_04272_00294732180	నవల పేరు తులసి దళం అనుకొంటాను
tem_04272_00219677106	ఆ సందర్భంలో మీ సభ్యనామం స్థానంలో అడ్రసు కనిపిస్తుంది
tem_04272_01329125778	దూరంలో యానాం వెళ్ళు మార్గంలో ఉంది
tem_02812_01443970722	పేదల పక్షాన ఉచితంగా వాదించేవారు
tem_00682_00520512236	ఇదే పేరుతో ఉన్న ఇతర ప్రాంతాల కొరకు వాంకిడి అయోమయ నివృత్తి పేజి చూడండి
tem_06359_00246666049	అలా అవ్వడం వల్ల అది ఫ్లేసిడ్ అవుతుంది
tem_03338_01375629143	దాంతో గుచ్చి రక్తాన్ని తీయవచ్చు
tem_00682_01424521767	వ్యాసం పేరు ఇది ఇలా కనిపిస్తుంది వ్యాసం పేరు
tem_02769_00877244652	ఇక్కడ ఖనిజాలు తక్కువగా ఉంటాయి
tem_00682_01012819104	చంపాటి చెంపాటి; ఇరవై ఏడు
tem_06885_01411821402	ఈ సినిమాల జాబితా పెట్టింది నేనే
tem_04771_01086596294	రౌండ్అబౌట్‌లో ప్రవేశించండి
tem_00682_00903121711	ఒకవేళ ఆ విభాగాన్ని తరువాత తొలగించి ఉంటే ఆ పేజీకి వెళ్తుంది
tem_03338_00139862221	పదాలు వరుసగా ఉంటాయి
tem_02769_00022749327	వీటిలో అనేకం తీవ్రమైన వ్యతిరేకతను చూపాయి
tem_05425_01577155887	అప్పుడు మరింత ఖచ్చితమైన ఫలితాలు వస్తాయి
tem_04272_00924403854	ఈ గ్రామం చుట్టూ ఉన్న పలు గ్రామాలకు కూడలి
tem_08680_01799478541	ముఖ్యంగా నాటకాలమీద ఆయనకు ఎక్కువ మక్కువ
tem_05479_00027892908	దీనిని ఆఫ్రికా లో ఆహార పంటగా పండిస్తారు\n
tem_09584_01493047937	ఇప్పుడు రోజులు మారాయి
tem_06885_00220365692	దగ్గరలో రాజమండ్రి రైలుస్టేషన్ ఉంది
tem_02769_01437581668	నాకు ఇద్దరు కూతుళ్ళున్నారు
tem_00682_00920318666	లూనావాడ పట్టణం జిల్లాకేంద్రంగా ఉంది
tem_00974_00076895759	వారి పోకడ వేరు
tem_08680_00142010865	గృహస్థు రెండు బలులు విధిగా చెయ్యాలి\n
tem_02769_00717590148	సంఘ లక్ష్యాలను కూడా విస్తరించింది
tem_04771_00191167376	రాంప్‌లో కుడివైపుకు తిరగండి
tem_03338_00093930925	సంగ్రహించిన తేదీ ఇరవై రెండు రెండు వేల పధ్నాలుగు
tem_02769_00228275171	ఇతను ఆర్డిబర్మన్ గా ప్రసిద్దుడు
tem_05479_00171615100	ఊరి ప్రముఖుల వలన ఊరిలో అన్ని వసతులు ఏర్పడ్డాయి\n
tem_00682_01062409580	దీనిని పాకిస్తాన్ హ్రదయం అనికూడా అంటారు
tem_02812_02008416311	ఇది కుటుంబానికి చెందిన చిన్న చోటు
tem_06359_02014228350	వీలుకాక ఆమె మీద పుకార్లు సృష్టిస్తారు
tem_00113_00294763463	దీంతో జీవవైవిధ్యం దెబ్బతింటోంది
tem_02812_01671339868	కెసీ మీడియా ప్రధాన ఆకర్షణగా మారారు
tem_08377_00926922268	అతని కుమార్తెను దొంగలు అపహరిస్తారు\n
