Token will not been saved to git credential helper. Pass `add_to_git_credential=True` if you want to set the git credential as well.
Token is valid.
Your token has been saved to /raid/cs20mds14030/.huggingface/token
Login successful
Avaialble datasets --> ['indic_superb/clean_train', 'indic_superb/clean_valid', 'indic_superb/clean_test_known', 'indic_superb/clean_test_unknown', 'ulca/Chai_Bisket_Stories_16-08-2021_14-17', 'ulca/Telangana_Sahitya_Akademi_16-08-2021_14-40', 'open_slr/te_in_female', 'open_slr/te_in_male']
##### Loading the datasets #####
indic_superb/clean_train
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 70692
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 73071
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 75481
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 76973
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 77558
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 77734
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 80028
})
Dataset({
    features: ['file_name', 'transcription', 'duration'],
    num_rows: 82182
})
##### Successfully loaded the datasets #####
{'The dataset has 82182 rows worth 162 hours of data'}
DatasetDict({
    train: Dataset({
        features: ['audio', 'transcription', 'duration'],
        num_rows: 73963
    })
    test: Dataset({
        features: ['audio', 'transcription', 'duration'],
        num_rows: 8219
    })
})
Performed train test split
Training Dataset Details
Dataset({
    features: ['audio', 'transcription', 'duration'],
    num_rows: 73963
})
73963 samples --> 146 hours of data


Testing Dataset Details
Dataset({
    features: ['audio', 'transcription', 'duration'],
    num_rows: 8219
})
8219 samples --> 146 hours of data
model_output_dir --> ./whisper-small-te-146h
####### Loaded WhisperFeatureExtractor, WhisperTokenizer and WhisperProcessor successfully #########
###### Preparing dataset started ########
####### Preparing dataset completed ########
####### Loaded the Pre-Trained Checkpoint ########
####### Defined the Training Configuration #########
######## Finetuning Started #########
{'loss': 2.0315, 'learning_rate': 8e-08, 'epoch': 0.01}
{'loss': 0.0731, 'learning_rate': 4.324285714285715e-06, 'epoch': 1.51}
{'loss': 0.0751, 'learning_rate': 4.288571428571429e-06, 'epoch': 1.51}
{'loss': 0.0701, 'learning_rate': 4.252857142857143e-06, 'epoch': 1.52}
{'loss': 0.0728, 'learning_rate': 4.217142857142858e-06, 'epoch': 1.53}
{'loss': 0.0704, 'learning_rate': 4.1814285714285714e-06, 'epoch': 1.53}
{'loss': 0.074, 'learning_rate': 4.145714285714286e-06, 'epoch': 1.54}
{'loss': 0.0691, 'learning_rate': 4.1100000000000005e-06, 'epoch': 1.54}
{'loss': 0.0788, 'learning_rate': 4.074285714285714e-06, 'epoch': 1.55}
{'loss': 0.0703, 'learning_rate': 4.038571428571429e-06, 'epoch': 1.55}
{'loss': 0.0765, 'learning_rate': 4.002857142857143e-06, 'epoch': 1.56}
{'loss': 0.0697, 'learning_rate': 3.967142857142858e-06, 'epoch': 1.56}
{'loss': 0.0698, 'learning_rate': 3.931428571428571e-06, 'epoch': 1.57}
{'loss': 0.0744, 'learning_rate': 3.895714285714286e-06, 'epoch': 1.57}
{'loss': 0.0737, 'learning_rate': 3.86e-06, 'epoch': 1.58}
{'loss': 0.0689, 'learning_rate': 3.824285714285715e-06, 'epoch': 1.58}
{'loss': 0.067, 'learning_rate': 3.7885714285714285e-06, 'epoch': 1.59}
{'loss': 0.077, 'learning_rate': 3.752857142857143e-06, 'epoch': 1.6}
{'loss': 0.0708, 'learning_rate': 3.7171428571428575e-06, 'epoch': 1.6}
{'loss': 0.0714, 'learning_rate': 3.681428571428572e-06, 'epoch': 1.61}
{'loss': 0.0694, 'learning_rate': 3.6457142857142857e-06, 'epoch': 1.61}
{'loss': 0.0694, 'learning_rate': 3.61e-06, 'epoch': 1.62}
{'loss': 0.0719, 'learning_rate': 3.5742857142857147e-06, 'epoch': 1.62}
{'loss': 0.0734, 'learning_rate': 3.538571428571429e-06, 'epoch': 1.63}
{'loss': 0.0692, 'learning_rate': 3.5028571428571433e-06, 'epoch': 1.63}
{'loss': 0.0651, 'learning_rate': 3.4671428571428573e-06, 'epoch': 1.64}
{'loss': 0.0736, 'learning_rate': 3.431428571428572e-06, 'epoch': 1.64}
{'loss': 0.0669, 'learning_rate': 3.395714285714286e-06, 'epoch': 1.65}
{'loss': 0.0661, 'learning_rate': 3.3600000000000004e-06, 'epoch': 1.66}
{'loss': 0.0728, 'learning_rate': 3.3242857142857145e-06, 'epoch': 1.66}
{'loss': 0.0723, 'learning_rate': 3.2885714285714286e-06, 'epoch': 1.67}
{'loss': 0.0685, 'learning_rate': 3.252857142857143e-06, 'epoch': 1.67}
{'loss': 0.0716, 'learning_rate': 3.2171428571428576e-06, 'epoch': 1.68}
{'loss': 0.0777, 'learning_rate': 3.1814285714285713e-06, 'epoch': 1.68}
{'loss': 0.0694, 'learning_rate': 3.1457142857142858e-06, 'epoch': 1.69}
{'loss': 0.065, 'learning_rate': 3.1100000000000003e-06, 'epoch': 1.69}
{'loss': 0.0661, 'learning_rate': 3.074285714285715e-06, 'epoch': 1.7}
{'loss': 0.068, 'learning_rate': 3.038571428571429e-06, 'epoch': 1.7}
{'loss': 0.0735, 'learning_rate': 3.002857142857143e-06, 'epoch': 1.71}
{'loss': 0.0697, 'learning_rate': 2.9671428571428575e-06, 'epoch': 1.71}
{'loss': 0.0735, 'learning_rate': 2.9314285714285716e-06, 'epoch': 1.72}
{'loss': 0.064, 'learning_rate': 2.895714285714286e-06, 'epoch': 1.73}
{'loss': 0.0687, 'learning_rate': 2.86e-06, 'epoch': 1.73}
{'loss': 0.0688, 'learning_rate': 2.8242857142857142e-06, 'epoch': 1.74}
{'loss': 0.0668, 'learning_rate': 2.7885714285714287e-06, 'epoch': 1.74}
{'loss': 0.0707, 'learning_rate': 2.7528571428571432e-06, 'epoch': 1.75}
{'loss': 0.0736, 'learning_rate': 2.7171428571428577e-06, 'epoch': 1.75}
{'loss': 0.066, 'learning_rate': 2.6814285714285714e-06, 'epoch': 1.76}
{'loss': 0.0714, 'learning_rate': 2.645714285714286e-06, 'epoch': 1.76}
{'loss': 0.0664, 'learning_rate': 2.6100000000000004e-06, 'epoch': 1.77}
{'loss': 0.0704, 'learning_rate': 2.574285714285715e-06, 'epoch': 1.77}
{'loss': 0.0709, 'learning_rate': 2.5400000000000002e-06, 'epoch': 1.78}
{'loss': 0.0648, 'learning_rate': 2.5042857142857148e-06, 'epoch': 1.78}
{'loss': 0.0687, 'learning_rate': 2.468571428571429e-06, 'epoch': 1.79}
{'loss': 0.07, 'learning_rate': 2.4328571428571433e-06, 'epoch': 1.8}
{'loss': 0.0646, 'learning_rate': 2.3971428571428574e-06, 'epoch': 1.8}
{'loss': 0.0716, 'learning_rate': 2.361428571428572e-06, 'epoch': 1.81}
{'loss': 0.0703, 'learning_rate': 2.325714285714286e-06, 'epoch': 1.81}
{'loss': 0.0631, 'learning_rate': 2.29e-06, 'epoch': 1.82}
{'loss': 0.0684, 'learning_rate': 2.2542857142857146e-06, 'epoch': 1.82}
{'loss': 0.0659, 'learning_rate': 2.2185714285714287e-06, 'epoch': 1.83}
{'loss': 0.0706, 'learning_rate': 2.1828571428571428e-06, 'epoch': 1.83}
{'loss': 0.0652, 'learning_rate': 2.1471428571428573e-06, 'epoch': 1.84}
{'loss': 0.0611, 'learning_rate': 2.1114285714285714e-06, 'epoch': 1.84}
{'loss': 0.0728, 'learning_rate': 2.075714285714286e-06, 'epoch': 1.85}
{'loss': 0.0683, 'learning_rate': 2.04e-06, 'epoch': 1.86}
{'loss': 0.0655, 'learning_rate': 2.0042857142857145e-06, 'epoch': 1.86}
{'loss': 0.064, 'learning_rate': 1.968571428571429e-06, 'epoch': 1.87}
{'loss': 0.0735, 'learning_rate': 1.932857142857143e-06, 'epoch': 1.87}
{'loss': 0.0673, 'learning_rate': 1.8971428571428573e-06, 'epoch': 1.88}
{'loss': 0.0669, 'learning_rate': 1.8614285714285714e-06, 'epoch': 1.88}
{'loss': 0.0631, 'learning_rate': 1.825714285714286e-06, 'epoch': 1.89}
{'loss': 0.0674, 'learning_rate': 1.79e-06, 'epoch': 1.89}
{'loss': 0.0623, 'learning_rate': 1.7542857142857145e-06, 'epoch': 1.9}
{'loss': 0.0632, 'learning_rate': 1.7185714285714286e-06, 'epoch': 1.9}
{'loss': 0.0642, 'learning_rate': 1.6828571428571431e-06, 'epoch': 1.91}
{'loss': 0.0653, 'learning_rate': 1.6471428571428572e-06, 'epoch': 1.91}
{'loss': 0.0644, 'learning_rate': 1.6114285714285715e-06, 'epoch': 1.92}
{'loss': 0.0658, 'learning_rate': 1.575714285714286e-06, 'epoch': 1.93}
{'loss': 0.0718, 'learning_rate': 1.54e-06, 'epoch': 1.93}
{'loss': 0.0638, 'learning_rate': 1.5042857142857146e-06, 'epoch': 1.94}
{'loss': 0.07, 'learning_rate': 1.4685714285714287e-06, 'epoch': 1.94}
{'loss': 0.0655, 'learning_rate': 1.432857142857143e-06, 'epoch': 1.95}
{'loss': 0.067, 'learning_rate': 1.3971428571428573e-06, 'epoch': 1.95}
{'loss': 0.0635, 'learning_rate': 1.3614285714285716e-06, 'epoch': 1.96}
{'loss': 0.0694, 'learning_rate': 1.3257142857142856e-06, 'epoch': 1.96}
{'loss': 0.0711, 'learning_rate': 1.2900000000000001e-06, 'epoch': 1.97}
{'loss': 0.064, 'learning_rate': 1.2542857142857142e-06, 'epoch': 1.97}
{'loss': 0.0615, 'learning_rate': 1.2185714285714287e-06, 'epoch': 1.98}
{'loss': 0.0646, 'learning_rate': 1.182857142857143e-06, 'epoch': 1.98}
{'loss': 0.0671, 'learning_rate': 1.1471428571428573e-06, 'epoch': 1.99}
{'loss': 0.0647, 'learning_rate': 1.1114285714285714e-06, 'epoch': 2.0}
{'loss': 0.0652, 'learning_rate': 1.0757142857142857e-06, 'epoch': 2.0}
{'loss': 0.0577, 'learning_rate': 1.04e-06, 'epoch': 2.01}
{'loss': 0.0574, 'learning_rate': 1.0042857142857143e-06, 'epoch': 2.01}
{'loss': 0.0487, 'learning_rate': 9.685714285714288e-07, 'epoch': 2.02}
{'loss': 0.0473, 'learning_rate': 9.32857142857143e-07, 'epoch': 2.02}
{'loss': 0.0549, 'learning_rate': 8.971428571428573e-07, 'epoch': 2.03}
{'loss': 0.0464, 'learning_rate': 8.614285714285716e-07, 'epoch': 2.03}
{'loss': 0.0511, 'learning_rate': 8.257142857142858e-07, 'epoch': 2.04}
{'loss': 0.0528, 'learning_rate': 7.900000000000001e-07, 'epoch': 2.04}
{'loss': 0.0474, 'learning_rate': 7.542857142857144e-07, 'epoch': 2.05}
{'loss': 0.0518, 'learning_rate': 7.185714285714286e-07, 'epoch': 2.06}
{'loss': 0.0496, 'learning_rate': 6.828571428571428e-07, 'epoch': 2.06}
{'loss': 0.0504, 'learning_rate': 6.471428571428571e-07, 'epoch': 2.07}
{'loss': 0.053, 'learning_rate': 6.114285714285715e-07, 'epoch': 2.07}
{'loss': 0.0503, 'learning_rate': 5.757142857142857e-07, 'epoch': 2.08}
{'loss': 0.05, 'learning_rate': 5.4e-07, 'epoch': 2.08}
{'loss': 0.0489, 'learning_rate': 5.042857142857143e-07, 'epoch': 2.09}
{'loss': 0.0497, 'learning_rate': 4.6857142857142855e-07, 'epoch': 2.09}
{'loss': 0.0545, 'learning_rate': 4.328571428571429e-07, 'epoch': 2.1}
{'loss': 0.0494, 'learning_rate': 3.971428571428572e-07, 'epoch': 2.1}
{'loss': 0.0496, 'learning_rate': 3.6142857142857144e-07, 'epoch': 2.11}
{'loss': 0.0528, 'learning_rate': 3.2571428571428573e-07, 'epoch': 2.11}
{'loss': 0.0489, 'learning_rate': 2.9000000000000003e-07, 'epoch': 2.12}
{'loss': 0.0554, 'learning_rate': 2.542857142857143e-07, 'epoch': 2.13}
{'loss': 0.0496, 'learning_rate': 2.185714285714286e-07, 'epoch': 2.13}
{'loss': 0.0555, 'learning_rate': 1.828571428571429e-07, 'epoch': 2.14}
{'loss': 0.0511, 'learning_rate': 1.4714285714285716e-07, 'epoch': 2.14}
{'loss': 0.047, 'learning_rate': 1.1142857142857145e-07, 'epoch': 2.15}
{'loss': 0.0449, 'learning_rate': 7.571428571428572e-08, 'epoch': 2.15}
{'loss': 0.0544, 'learning_rate': 4e-08, 'epoch': 2.16}
{'loss': 0.0519, 'learning_rate': 4.285714285714286e-09, 'epoch': 2.16}
{'eval_loss': 0.07683537900447845, 'eval_wer': 28.59758159493464, 'eval_runtime': 9895.0928, 'eval_samples_per_second': 0.831, 'eval_steps_per_second': 0.208, 'epoch': 2.16}
{'train_runtime': 76372.2996, 'train_samples_per_second': 2.095, 'train_steps_per_second': 0.131, 'train_loss': 0.15631482459306717, 'epoch': 2.16}
######## Finetuning Completed #########
######## Pushing the finetuned model to Hugging Face Hub Started #########
######## Pushing the finetuned model to Hugging Face Hub Completed #########
